timestamp,estimulo,codigo
1780116387.9465249,D4,18
1780116388.3736982,ConmprimidoRojo,1
1780116388.8005118,D5,19
1780116389.226705,ConmprimidoVerde,2
1780116389.6528647,D1,15
1780116390.0791245,D2,16
1780116390.505332,ComprimidoAzul,3
1780116390.9324982,D3,17
1780116391.3590777,D3,17
1780116391.785571,ConmprimidoVerde,2
1780116392.211479,D1,15
1780116392.6380575,ConmprimidoRojo,1
1780116393.06454,D5,19
1780116393.4923563,D2,16
1780116393.9180305,D4,18
1780116394.3447757,ComprimidoAzul,3
1780116394.770864,ConmprimidoRojo,1
1780116395.1975493,D5,19
1780116395.6242535,ComprimidoAzul,3
1780116396.0512147,D1,15
1780116396.477577,ConmprimidoVerde,2
1780116396.904597,D3,17
1780116397.3319294,D2,16
1780116397.757906,D4,18
1780116398.1843188,D4,18
1780116398.6116254,ComprimidoAzul,3
1780116399.037727,D2,16
1780116399.4642143,ConmprimidoRojo,1
1780116399.8901694,D3,17
1780116400.3164885,ConmprimidoVerde,2
1780116400.742267,D1,15
1780116401.1689775,D5,19
1780116401.5950224,D4,18
1780116402.0220108,ComprimidoAzul,3
1780116402.44815,D1,15
1780116402.8749108,D2,16
1780116403.3005226,ConmprimidoRojo,1
1780116403.7269177,D5,19
1780116404.1531405,D3,17
1780116404.5798037,ConmprimidoVerde,2
1780116405.0061877,D5,19
1780116405.4330735,ConmprimidoVerde,2
1780116405.8602474,D2,16
1780116406.2874336,D4,18
1780116406.7139938,D1,15
1780116407.140167,ComprimidoAzul,3
1780116407.5662389,D3,17
1780116407.9928627,ConmprimidoRojo,1
1780116408.4189072,ConmprimidoVerde,2
1780116408.8466678,D4,18
1780116409.2724717,D2,16
1780116409.6996238,ComprimidoAzul,3
1780116410.1263456,D3,17
1780116410.5528657,D1,15
1780116410.9795017,ConmprimidoRojo,1
1780116411.405892,D5,19
1780116411.832496,D1,15
1780116412.259052,ComprimidoAzul,3
1780116412.6850107,D3,17
1780116413.111484,ConmprimidoVerde,2
1780116413.537864,D4,18
1780116413.9641426,D2,16
1780116414.3907387,D5,19
1780116414.8178341,ConmprimidoRojo,1
1780116415.2434554,D5,19
1780116415.6703696,D4,18
1780116416.0962641,D2,16
1780116416.5232465,ConmprimidoVerde,2
1780116416.9496758,D3,17
1780116417.3765044,ComprimidoAzul,3
1780116417.8024976,D1,15
1780116418.2284515,ConmprimidoRojo,1
1780116418.6543212,ComprimidoAzul,3
1780116419.0807,D4,18
1780116419.5083976,D2,16
1780116419.9346123,ConmprimidoVerde,2
1780116420.3605373,D1,15
1780116420.7868767,D5,19
1780116421.213687,ConmprimidoRojo,1
1780116421.639868,D3,17
1780116422.0664356,ConmprimidoRojo,1
1780116422.4923625,D4,18
1780116422.918337,ConmprimidoVerde,2
1780116423.3450775,D2,16
1780116423.771572,D1,15
1780116424.1981223,ComprimidoAzul,3
1780116424.6246161,D3,17
1780116425.0516539,D5,19
