timestamp,estimulo,codigo
1780097743.5970435,ConmprimidoRojo,1
1780097744.0240853,D5,19
1780097744.4502773,ConmprimidoVerde,2
1780097744.8765202,D3,17
1780097745.3036742,D4,18
1780097745.730501,ComprimidoAzul,3
1780097746.1573982,D1,15
1780097746.583814,D2,16
1780097747.0108216,ConmprimidoVerde,2
1780097747.43817,D4,18
1780097747.8640702,D3,17
1780097748.2911072,ConmprimidoRojo,1
1780097748.7183094,D1,15
1780097749.145011,D2,16
1780097749.571748,ComprimidoAzul,3
1780097749.997524,D5,19
1780097750.424945,ComprimidoAzul,3
1780097750.8510046,D5,19
1780097751.2771163,D4,18
1780097751.7035875,ConmprimidoRojo,1
1780097752.1299002,D3,17
1780097752.5571008,D1,15
1780097752.983365,ConmprimidoVerde,2
1780097753.4093354,D2,16
1780097753.8365662,D1,15
1780097754.2631428,D2,16
1780097754.6900334,ConmprimidoRojo,1
1780097755.1170013,D5,19
1780097755.543486,D4,18
1780097755.9701266,ConmprimidoVerde,2
1780097756.396127,D3,17
1780097756.8234987,ComprimidoAzul,3
1780097757.250345,ComprimidoAzul,3
1780097757.6765046,D4,18
1780097758.1030672,ConmprimidoRojo,1
1780097758.5303628,D2,16
1780097758.9572823,ConmprimidoVerde,2
1780097759.384493,D1,15
1780097759.8111198,D5,19
1780097760.238585,D3,17
1780097760.6657197,D4,18
1780097761.0926151,ConmprimidoVerde,2
1780097761.5189853,D5,19
1780097761.944761,ComprimidoAzul,3
1780097762.3711452,D1,15
1780097762.7988534,D2,16
1780097763.2250624,D3,17
1780097763.651529,ConmprimidoRojo,1
1780097764.0780475,ConmprimidoRojo,1
1780097764.5047514,D3,17
1780097764.9320586,ConmprimidoVerde,2
1780097765.3589673,D4,18
1780097765.7852924,ComprimidoAzul,3
1780097766.212569,D1,15
1780097766.6397097,D2,16
1780097767.0662262,D5,19
1780097767.4934542,ConmprimidoVerde,2
1780097767.9191127,D3,17
1780097768.3449063,ConmprimidoRojo,1
1780097768.7706938,D4,18
1780097769.1969948,ComprimidoAzul,3
1780097769.6235569,D1,15
1780097770.0509355,D2,16
1780097770.4777472,D5,19
1780097770.9035642,D2,16
1780097771.3296666,ComprimidoAzul,3
1780097771.7570364,D3,17
1780097772.183871,ConmprimidoRojo,1
1780097772.6104357,D4,18
1780097773.0366423,D1,15
1780097773.46246,ConmprimidoVerde,2
1780097773.8887825,D5,19
1780097774.3144825,D1,15
1780097774.7415004,ConmprimidoRojo,1
1780097775.1679566,D2,16
1780097775.5943754,D3,17
1780097776.0218062,ComprimidoAzul,3
1780097776.4483528,D4,18
1780097776.875288,D5,19
1780097777.3026156,ConmprimidoVerde,2
1780097777.7285955,ConmprimidoVerde,2
1780097778.1550627,D2,16
1780097778.582037,ConmprimidoRojo,1
1780097779.0077481,D1,15
1780097779.4352355,D3,17
1780097779.8613982,ComprimidoAzul,3
1780097780.2884295,D5,19
1780097780.7154722,D4,18
