timestamp,estimulo,codigo
1780107570.1867542,D3,17
1780107570.6129117,ComprimidoAzul,3
1780107571.0398962,D4,18
1780107571.4668608,D2,16
1780107571.8932512,D1,15
1780107572.319866,ConmprimidoRojo,1
1780107572.746687,D5,19
1780107573.1731875,ConmprimidoVerde,2
1780107573.5996678,ComprimidoAzul,3
1780107574.0264592,D4,18
1780107574.4539244,D1,15
1780107574.8809912,ConmprimidoVerde,2
1780107575.3073673,D2,16
1780107575.7338116,D5,19
1780107576.1612833,ConmprimidoRojo,1
1780107576.5874975,D3,17
1780107577.013723,ComprimidoAzul,3
1780107577.4399846,D1,15
1780107577.8662765,ConmprimidoRojo,1
1780107578.2924497,D2,16
1780107578.7185848,D3,17
1780107579.1450715,D5,19
1780107579.572399,ConmprimidoVerde,2
1780107579.9992054,D4,18
1780107580.4264019,ConmprimidoRojo,1
1780107580.853229,D1,15
1780107581.2795699,D5,19
1780107581.7070007,D4,18
1780107582.1333818,ComprimidoAzul,3
1780107582.5603426,D2,16
1780107582.986965,D3,17
1780107583.4127843,ConmprimidoVerde,2
1780107583.8390205,ComprimidoAzul,3
1780107584.2649918,D5,19
1780107584.6916285,D3,17
1780107585.1183605,D1,15
1780107585.5448234,ConmprimidoRojo,1
1780107585.9718523,D2,16
1780107586.3990788,D4,18
1780107586.826483,ConmprimidoVerde,2
1780107587.2533607,D3,17
1780107587.6795032,ConmprimidoVerde,2
1780107588.1062508,D1,15
1780107588.5323575,D4,18
1780107588.958698,ConmprimidoRojo,1
1780107589.3858607,D5,19
1780107589.8122618,ComprimidoAzul,3
1780107590.238382,D2,16
1780107590.6647885,ConmprimidoRojo,1
1780107591.091153,D4,18
1780107591.5170689,ConmprimidoVerde,2
1780107591.9436314,D2,16
1780107592.3708754,D3,17
1780107592.798093,D5,19
1780107593.2247932,ComprimidoAzul,3
1780107593.6517189,D1,15
1780107594.0779216,D2,16
1780107594.5043,D5,19
1780107594.9307327,ComprimidoAzul,3
1780107595.3575892,D1,15
1780107595.7842155,ConmprimidoRojo,1
1780107596.2110128,D4,18
1780107596.6383147,D3,17
1780107597.0651276,ConmprimidoVerde,2
1780107597.4917219,ConmprimidoVerde,2
1780107597.9188673,D4,18
1780107598.3458683,ComprimidoAzul,3
1780107598.772523,D1,15
1780107599.1994832,D3,17
1780107599.6264596,D5,19
1780107600.053342,D2,16
1780107600.4804146,ConmprimidoRojo,1
1780107600.907251,D2,16
1780107601.3333883,ConmprimidoVerde,2
1780107601.7603364,D4,18
1780107602.187117,D1,15
1780107602.6140203,ComprimidoAzul,3
1780107603.0400338,D3,17
1780107603.4673927,ConmprimidoRojo,1
1780107603.8942156,D5,19
1780107604.3203082,D2,16
1780107604.7470765,ConmprimidoRojo,1
1780107605.1740646,D4,18
1780107605.6007216,D5,19
1780107606.0276742,ComprimidoAzul,3
1780107606.4540408,D1,15
1780107606.8802814,ConmprimidoVerde,2
1780107607.3074327,D3,17
