timestamp,estimulo,codigo
1780113523.5803437,D5,19
1780113524.007065,ConmprimidoVerde,2
1780113524.433645,D4,18
1780113524.8595154,ComprimidoAzul,3
1780113525.2865815,D2,16
1780113525.7132938,ConmprimidoRojo,1
1780113526.1397307,D3,17
1780113526.5668855,D1,15
1780113526.9935396,ConmprimidoRojo,1
1780113527.4197125,D3,17
1780113527.8457088,ConmprimidoVerde,2
1780113528.272129,D2,16
1780113528.698916,ComprimidoAzul,3
1780113529.1256003,D5,19
1780113529.552369,D1,15
1780113529.978626,D4,18
1780113530.4058816,D4,18
1780113530.832082,ComprimidoAzul,3
1780113531.2584612,D2,16
1780113531.684896,ConmprimidoVerde,2
1780113532.1115148,D3,17
1780113532.5376885,D5,19
1780113532.9646137,D1,15
1780113533.391094,ConmprimidoRojo,1
1780113533.8178108,ComprimidoAzul,3
1780113534.244563,D1,15
1780113534.671675,D5,19
1780113535.0982902,D3,17
1780113535.5250998,D2,16
1780113535.952023,ConmprimidoVerde,2
1780113536.3787296,D4,18
1780113536.8053882,ConmprimidoRojo,1
1780113537.2322335,D4,18
1780113537.6592083,D2,16
1780113538.0851378,ConmprimidoRojo,1
1780113538.5114625,D1,15
1780113538.9379227,ConmprimidoVerde,2
1780113539.3649552,D5,19
1780113539.791246,ComprimidoAzul,3
1780113540.2180173,D3,17
1780113540.6445305,D1,15
1780113541.0716102,ConmprimidoRojo,1
1780113541.4982195,D4,18
1780113541.9245725,D5,19
1780113542.350913,ComprimidoAzul,3
1780113542.7775664,D3,17
1780113543.2040007,ConmprimidoVerde,2
1780113543.6310613,D2,16
1780113544.0584865,ConmprimidoVerde,2
1780113544.4851496,D5,19
1780113544.911234,D1,15
1780113545.3372827,ConmprimidoRojo,1
1780113545.7632933,D2,16
1780113546.1905072,D4,18
1780113546.6168523,ComprimidoAzul,3
1780113547.0435047,D3,17
1780113547.46952,D3,17
1780113547.896325,ConmprimidoRojo,1
1780113548.3224666,D1,15
1780113548.7492092,ComprimidoAzul,3
1780113549.1758423,D2,16
1780113549.602375,ConmprimidoVerde,2
1780113550.0288246,D5,19
1780113550.4550397,D4,18
1780113550.8812852,ComprimidoAzul,3
1780113551.3077402,D3,17
1780113551.7336864,ConmprimidoRojo,1
1780113552.160849,D4,18
1780113552.58731,D5,19
1780113553.0143263,D1,15
1780113553.440139,D2,16
1780113553.8667207,ConmprimidoVerde,2
1780113554.2924914,ConmprimidoVerde,2
1780113554.720159,D1,15
1780113555.146615,D3,17
1780113555.5727594,D4,18
1780113555.999289,ComprimidoAzul,3
1780113556.4259648,D5,19
1780113556.8524718,D2,16
1780113557.2785945,ConmprimidoRojo,1
1780113557.704668,D2,16
1780113558.1320877,ComprimidoAzul,3
1780113558.5593235,D3,17
1780113558.9860172,ConmprimidoVerde,2
1780113559.4132617,D1,15
1780113559.8400347,ConmprimidoRojo,1
1780113560.2665746,D5,19
1780113560.6934242,D4,18
