timestamp,estimulo,codigo
1779758475.1539316,D5,19
1779758475.5809326,D3,17
1779758476.0082257,ComprimidoAzul,3
1779758476.4355829,D4,18
1779758476.8622968,ConmprimidoRojo,1
1779758477.2895076,D2,16
1779758477.7169065,D1,15
1779758478.144338,ConmprimidoVerde,2
1779758478.5703328,D3,17
1779758478.9976826,D5,19
1779758479.4238338,ComprimidoAzul,3
1779758479.8501685,D1,15
1779758480.2766657,D2,16
1779758480.7039347,ConmprimidoVerde,2
1779758481.1300614,D4,18
1779758481.5564718,ConmprimidoRojo,1
1779758481.984024,D1,15
1779758482.4114625,ComprimidoAzul,3
1779758482.8383472,D3,17
1779758483.2657526,ConmprimidoVerde,2
1779758483.6925669,D5,19
1779758484.1185567,D2,16
1779758484.5451515,D4,18
1779758484.971928,ConmprimidoRojo,1
1779758485.399185,D3,17
1779758485.8262413,D5,19
1779758486.2522147,ConmprimidoRojo,1
1779758486.678278,D2,16
1779758487.1046402,ComprimidoAzul,3
1779758487.5316403,D4,18
1779758487.9579105,D1,15
1779758488.3850496,ConmprimidoVerde,2
1779758488.8122213,D3,17
1779758489.238453,D2,16
1779758489.6646283,ComprimidoAzul,3
1779758490.0909631,D4,18
1779758490.5182314,ConmprimidoVerde,2
1779758490.9452503,D5,19
1779758491.3711772,D1,15
1779758491.798005,ConmprimidoRojo,1
1779758492.2237558,ConmprimidoVerde,2
1779758492.651086,D2,16
1779758493.0772672,ConmprimidoRojo,1
1779758493.5037458,D3,17
1779758493.9305193,D4,18
1779758494.3569176,D1,15
1779758494.7832484,ComprimidoAzul,3
1779758495.2100108,D5,19
1779758495.637308,ConmprimidoRojo,1
1779758496.0640132,D4,18
1779758496.4910338,D1,15
1779758496.9183352,D5,19
1779758497.3443346,ComprimidoAzul,3
1779758497.7714124,D3,17
1779758498.1980207,ConmprimidoVerde,2
1779758498.6245642,D2,16
1779758499.0505006,ComprimidoAzul,3
1779758499.4771287,D3,17
1779758499.9040997,D4,18
1779758500.3317535,D5,19
1779758500.758758,D2,16
1779758501.1849742,ConmprimidoRojo,1
1779758501.6120234,D1,15
1779758502.0379107,ConmprimidoVerde,2
1779758502.465003,D4,18
1779758502.8922317,D2,16
1779758503.3192034,ConmprimidoVerde,2
1779758503.7451513,D3,17
1779758504.171453,D5,19
1779758504.598199,ConmprimidoRojo,1
1779758505.0252843,D1,15
1779758505.451781,ComprimidoAzul,3
1779758505.8777988,D4,18
1779758506.3047938,D2,16
1779758506.7311096,ComprimidoAzul,3
1779758507.158184,D5,19
1779758507.5849936,ConmprimidoVerde,2
1779758508.011486,D3,17
1779758508.4388754,ConmprimidoRojo,1
1779758508.8656702,D1,15
1779758509.2926247,D5,19
1779758509.718818,D2,16
1779758510.1452823,ConmprimidoVerde,2
1779758510.5723698,D3,17
1779758510.999058,D1,15
1779758511.4267383,ComprimidoAzul,3
1779758511.853902,D4,18
1779758512.2802222,ConmprimidoRojo,1
