timestamp,estimulo,codigo
1780088031.0794477,ComprimidoAzul,3
1780088031.5060933,D3,17
1780088031.932881,D1,15
1780088032.3595505,ConmprimidoVerde,2
1780088032.785789,D5,19
1780088033.2126641,ConmprimidoRojo,1
1780088033.639452,D2,16
1780088034.0668173,D4,18
1780088034.4939556,D3,17
1780088034.9203706,D5,19
1780088035.3468227,D2,16
1780088035.7725034,ConmprimidoRojo,1
1780088036.1996062,D4,18
1780088036.6260092,ConmprimidoVerde,2
1780088037.0534253,D1,15
1780088037.479696,ComprimidoAzul,3
1780088037.9064841,D4,18
1780088038.332355,D5,19
1780088038.7584178,D3,17
1780088039.1851437,ConmprimidoVerde,2
1780088039.61228,D1,15
1780088040.039495,ComprimidoAzul,3
1780088040.4663231,D2,16
1780088040.8923047,ConmprimidoRojo,1
1780088041.319098,D3,17
1780088041.7457128,D4,18
1780088042.1723819,ComprimidoAzul,3
1780088042.5982676,D2,16
1780088043.0250683,D1,15
1780088043.4513924,ConmprimidoRojo,1
1780088043.878001,D5,19
1780088044.3044503,ConmprimidoVerde,2
1780088044.7311547,ComprimidoAzul,3
1780088045.157157,D3,17
1780088045.5830367,D1,15
1780088046.010079,D5,19
1780088046.4368124,ConmprimidoRojo,1
1780088046.864075,D2,16
1780088047.2908819,D4,18
1780088047.7178388,ConmprimidoVerde,2
1780088048.1443377,D4,18
1780088048.5711079,D2,16
1780088048.997971,D5,19
1780088049.424006,ComprimidoAzul,3
1780088049.8499491,D3,17
1780088050.2761788,ConmprimidoRojo,1
1780088050.702373,D1,15
1780088051.1280775,ConmprimidoVerde,2
1780088051.5546644,D3,17
1780088051.9818356,ConmprimidoVerde,2
1780088052.4078944,D5,19
1780088052.8346028,ConmprimidoRojo,1
1780088053.2613587,D2,16
1780088053.6887515,ComprimidoAzul,3
1780088054.1143954,D4,18
1780088054.5411484,D1,15
1780088054.9672778,ConmprimidoVerde,2
1780088055.3933218,D4,18
1780088055.8200173,D5,19
1780088056.2467747,ConmprimidoRojo,1
1780088056.6728432,D2,16
1780088057.0992043,ComprimidoAzul,3
1780088057.5256445,D3,17
1780088057.9514153,D1,15
1780088058.3775823,ConmprimidoVerde,2
1780088058.803498,D1,15
1780088059.2294495,ComprimidoAzul,3
1780088059.6554801,D3,17
1780088060.0826955,D2,16
1780088060.5088422,D4,18
1780088060.935669,ConmprimidoRojo,1
1780088061.361675,D5,19
1780088061.7885106,ConmprimidoRojo,1
1780088062.2150822,D1,15
1780088062.6425009,D4,18
1780088063.068516,D3,17
1780088063.4952474,ConmprimidoVerde,2
1780088063.9225435,D2,16
1780088064.3491013,D5,19
1780088064.7759128,ComprimidoAzul,3
1780088065.202903,D2,16
1780088065.6297226,D4,18
1780088066.0564697,ComprimidoAzul,3
1780088066.4827824,D3,17
1780088066.9088888,D1,15
1780088067.334839,ConmprimidoRojo,1
1780088067.7615979,D5,19
1780088068.1887088,ConmprimidoVerde,2
