timestamp,estimulo,codigo
1780113983.7073872,ComprimidoAzul,3
1780113984.1337907,D3,17
1780113984.5606823,D2,16
1780113984.987475,D1,15
1780113985.4146147,D5,19
1780113985.8409696,ConmprimidoRojo,1
1780113986.2679813,D4,18
1780113986.6943972,ConmprimidoVerde,2
1780113987.1204093,ConmprimidoVerde,2
1780113987.5463932,D4,18
1780113987.972513,ConmprimidoRojo,1
1780113988.3995469,D5,19
1780113988.8259573,D2,16
1780113989.2525196,D3,17
1780113989.6792245,D1,15
1780113990.1054864,ComprimidoAzul,3
1780113990.5319862,D3,17
1780113990.9583895,ConmprimidoVerde,2
1780113991.384995,D2,16
1780113991.811751,D1,15
1780113992.2391818,ConmprimidoRojo,1
1780113992.666384,D4,18
1780113993.0926166,ComprimidoAzul,3
1780113993.519268,D5,19
1780113993.9454439,ConmprimidoVerde,2
1780113994.3722508,D1,15
1780113994.799402,D3,17
1780113995.2257273,D2,16
1780113995.6521723,D5,19
1780113996.0783324,ConmprimidoRojo,1
1780113996.5044823,D4,18
1780113996.9315844,ComprimidoAzul,3
1780113997.358291,D2,16
1780113997.784948,D5,19
1780113998.2113898,ConmprimidoVerde,2
1780113998.6385176,D3,17
1780113999.065093,ComprimidoAzul,3
1780113999.4917922,D4,18
1780113999.9180892,D1,15
1780114000.3441548,ConmprimidoRojo,1
1780114000.770138,D1,15
1780114001.1964264,ComprimidoAzul,3
1780114001.622432,D4,18
1780114002.048995,ConmprimidoVerde,2
1780114002.4749527,D3,17
1780114002.9015307,D5,19
1780114003.3281379,D2,16
1780114003.7549212,ConmprimidoRojo,1
1780114004.1821349,D2,16
1780114004.608703,ConmprimidoRojo,1
1780114005.0353453,D4,18
1780114005.461972,ComprimidoAzul,3
1780114005.8886604,D3,17
1780114006.3153272,D1,15
1780114006.741802,D5,19
1780114007.1677964,ConmprimidoVerde,2
1780114007.5943985,ConmprimidoVerde,2
1780114008.020608,D3,17
1780114008.4475956,ComprimidoAzul,3
1780114008.8743541,D4,18
1780114009.3017385,D2,16
1780114009.7282934,ConmprimidoRojo,1
1780114010.1547697,D5,19
1780114010.5818481,D1,15
1780114011.0084465,D3,17
1780114011.4358802,D4,18
1780114011.8627584,ConmprimidoRojo,1
1780114012.2898295,D1,15
1780114012.7165728,ComprimidoAzul,3
1780114013.1423583,D5,19
1780114013.5693586,ConmprimidoVerde,2
1780114013.9957042,D2,16
1780114014.4223258,ConmprimidoRojo,1
1780114014.8486307,D3,17
1780114015.2760317,ComprimidoAzul,3
1780114015.7031744,D4,18
1780114016.129242,D5,19
1780114016.5557175,D1,15
1780114016.9831452,ConmprimidoVerde,2
1780114017.4102476,D2,16
1780114017.836658,ComprimidoAzul,3
1780114018.2630856,D5,19
1780114018.6890304,ConmprimidoRojo,1
1780114019.1156132,D2,16
1780114019.542731,D3,17
1780114019.9694407,D1,15
1780114020.3958254,D4,18
1780114020.8224037,ConmprimidoVerde,2
